title,Month,year,Budget($M),length,rating,votes,mpaa,Action,Animation,Comedy,Drama,Documentary,Romance,Short,label
Collateral Damage,Feb,2002,85.0,108,5.2,8590,R,1,0,0,0,0,0,0,0
The Terminator,Oct,1984,6.4,108,7.9,59772,,1,0,0,1,0,1,0,0
Hostage,Mar,2005,75.0,113,6.6,3709,,0,0,0,1,0,0,0,0
Windtalkers,Jun,2002,115.0,153,5.9,9081,R,1,0,0,1,0,0,0,0
Out of Sight,Jun,1998,48.0,123,7.3,18776,,0,0,1,1,0,1,0,0
Serendipity,Oct,2001,28.0,90,6.6,10795,PG-13,0,0,1,0,0,1,0,0
The Ladykillers,Mar,2004,35.0,104,6.4,10580,R,0,0,1,0,0,0,0,0
Money Train,Nov,1995,68.0,103,5.1,5081,R,1,0,1,1,0,0,0,0
Bad Santa,Nov,2003,18.0,98,7.2,11189,R,0,0,1,0,0,0,0,0
Barbershop,Sep,2002,12.0,102,6.6,4943,PG-13,0,0,1,1,0,0,0,0
Coach Carter,Jan,2005,45.0,136,6.6,1636,PG-13,0,0,0,1,0,0,0,0
The Muppet Movie,Jun,1979,8.0,95,7.3,5890,,0,0,1,0,0,0,0,0
Home on the Range,Apr,2004,110.0,76,5.4,1510,PG,0,1,1,0,0,0,0,0
The Untouchables,Jun,1987,25.0,119,7.9,31587,,0,0,0,1,0,0,0,0
Tin Cup,Aug,1996,45.0,135,6.2,7521,R,0,0,1,1,0,1,0,0
Cruel Intentions,Mar,1999,11.0,97,6.5,25634,R,0,0,0,1,0,1,0,0
"O Brother, Where Art Thou?",Dec,2000,26.0,106,7.8,37961,PG-13,0,0,1,0,0,0,0,0
Dreamcatcher,Mar,2003,68.0,134,5.2,10403,R,0,0,0,0,0,0,0,0
The Last of the Mohicans,Sep,1992,40.0,117,7.5,15293,,0,0,0,1,0,1,0,0
The Count of Monte Cristo,Jan,2002,40.0,134,7.4,13907,PG-13,1,0,0,1,0,0,0,0
The Prince of Tides,Dec,1991,30.0,132,6.3,3095,,0,0,0,1,0,1,0,0
Jackie Brown,Dec,1997,12.0,154,7.5,28891,R,0,0,0,1,0,0,0,0
WarGames,Jun,1983,12.0,114,6.9,11474,,0,0,0,1,0,0,0,0
The Core,Mar,2003,85.0,135,5.4,7860,PG-13,1,0,0,1,0,0,0,0
The Hurricane,Dec,1999,38.0,145,7.3,12445,R,0,0,0,1,0,0,0,0
Life,Apr,1999,75.0,108,5.8,4857,R,0,0,1,1,0,0,0,0
"Dude, Where's My Car?",Dec,2000,13.0,83,4.6,13330,PG-13,0,0,1,0,0,0,0,0
Ben-Hur,Nov,1959,15.0,214,8.1,21031,,1,0,0,1,0,1,0,0
Urban Legend,Sep,1998,14.0,99,5.1,8245,R,0,0,0,0,0,0,0,0
Eternal Sunshine of the Spotless Mind,Mar,2004,20.0,108,8.6,46240,R,0,0,1,1,0,1,0,0
My Fair Lady,Oct,1964,17.0,170,7.8,12721,,0,0,1,1,0,1,0,0
Around the World in 80 Days,Jun,2004,110.0,120,5.7,3887,PG,1,0,1,0,0,1,0,0
Small Soldiers,Jul,1998,40.0,110,5.8,6938,PG-13,1,0,1,0,0,0,0,0
Rules of Engagement,Apr,2000,60.0,128,6.3,7903,R,0,0,0,1,0,0,0,0
Trainspotting,Jul,1996,3.1,94,8.0,51887,R,0,0,0,1,0,0,0,0
Bandits,Oct,2001,75.0,123,6.7,12382,PG-13,0,0,1,1,0,1,0,0
What Dreams May Come,Oct,1998,80.0,113,6.3,11706,PG-13,0,0,0,1,0,1,0,0
The Royal Tenenbaums,Dec,2001,28.0,111,7.6,31227,R,0,0,1,1,0,0,0,0
Holes,Apr,2003,20.0,117,7.2,5235,PG,0,0,1,1,0,0,0,0
Shanghai Noon,May,2000,55.0,110,6.7,12258,PG-13,1,0,1,0,0,0,0,0
Shanghai Noon,May,2000,55.0,110,6.7,12258,PG-13,1,0,1,0,0,0,0,0
Down to Earth,Feb,2001,30.0,87,5.1,3720,PG-13,0,0,1,0,0,1,0,0
Cleopatra,Jun,1963,42.0,320,6.6,2612,,0,0,0,1,0,1,0,0
Groundhog Day,Feb,1993,14.6,101,8.0,44819,PG,0,0,1,0,0,1,0,0
Shallow Hal,Nov,2001,40.0,113,6.1,13217,PG-13,0,0,1,1,0,1,0,0
Ronin,Sep,1998,55.0,121,7.0,21982,R,1,0,0,0,0,0,0,0
Ronin,Sep,1998,55.0,121,7.0,21982,R,1,0,0,0,0,0,0,0
Anacondas: The Hunt for the Blood Orchid,Aug,2004,25.0,97,4.2,2258,PG-13,0,0,0,0,0,0,0,0
Star Trek V: The Final Frontier,Jun,1989,30.0,107,4.8,9215,,1,0,0,0,0,0,0,0
A Cinderella Story,Jul,2004,19.0,95,4.9,2755,PG,0,0,1,0,0,1,0,0
House of Wax,May,2005,35.0,105,4.6,1298,R,0,0,0,0,0,0,0,0
Born on the Fourth of July,Dec,1989,14.0,145,7.0,11480,,0,0,0,1,0,0,0,0
Halloween,Oct,1978,0.325,101,7.7,19248,,0,0,0,0,0,0,0,0
Lawrence of Arabia,Dec,1962,15.0,227,8.6,31230,,0,0,0,1,0,0,0,0
Private Benjamin,Oct,1980,15.0,109,6.0,3936,,0,0,1,0,0,0,0,0
The Best Little Whorehouse in Texas,Jul,1982,20.5,114,5.0,1670,,0,0,1,0,0,0,0,0
The Kid,Jul,2000,65.0,104,6.1,5418,PG,0,0,1,1,0,0,0,0
Bad Company,Jun,2002,70.0,116,5.4,6175,PG-13,1,0,1,0,0,0,0,0
Babe: Pig in the City,Nov,1998,80.0,97,6.5,3827,,0,0,1,0,0,0,0,0
From Hell,Oct,2001,35.0,122,6.8,17292,R,0,0,0,0,0,0,0,0
2001: A Space Odyssey,Apr,1968,10.5,156,8.3,64982,,0,0,0,0,0,0,0,0
Open Range,Aug,2003,26.0,139,7.5,8799,R,0,0,0,1,0,0,0,0
Ghost Ship,Oct,2002,20.0,91,5.3,8399,R,0,0,0,0,0,0,0,0
Practical Magic,Oct,1998,60.0,103,5.4,7786,PG-13,0,0,0,1,0,1,0,0
Frequency,Apr,2000,31.0,118,7.4,15317,PG-13,0,0,0,1,0,0,0,0
Austin Powers: International Man of Mystery,May,1997,18.0,94,7.0,33755,PG-13,1,0,1,0,0,0,0,0
Star Trek: Nemesis,Dec,2002,60.0,116,6.5,11785,PG-13,1,0,0,1,0,0,0,0
Boogeyman,Feb,2005,20.0,89,4.1,2055,PG-13,0,0,0,1,0,0,0,0
Coal Miner's Daughter,Mar,1980,15.0,125,7.3,2207,,0,0,0,1,0,0,0,0
102 Dalmatians,Nov,2000,85.0,100,4.7,1987,,0,0,1,0,0,0,0,0
Changing Lanes,Apr,2002,45.0,99,6.6,12779,R,0,0,0,1,0,0,0,0
Hero,Oct,1992,42.0,117,6.2,4705,,0,0,1,1,0,0,0,0
Thirteen Days,Dec,2000,80.0,145,7.4,10926,PG-13,0,0,0,1,0,0,0,0
The Godfather: Part III,Dec,1990,54.0,169,7.3,22385,,0,0,0,1,0,0,0,0
The Godfather: Part III,Dec,1990,54.0,169,7.3,22385,,0,0,0,1,0,0,0,0
Barbershop 2: Back in Business,Feb,2004,18.0,106,5.7,1580,PG-13,0,0,1,0,0,0,0,0
Sweet November,Feb,2001,40.0,115,5.5,5458,PG-13,0,0,1,1,0,1,0,0
K-19: The Widowmaker,Jul,2002,90.0,140,6.6,8292,PG-13,0,0,0,1,0,0,0,0
The Road to El Dorado,Mar,2000,95.0,89,6.3,2838,PG,1,1,1,0,0,0,0,0
Witness,Feb,1985,12.0,112,7.6,14479,,0,0,0,1,0,1,0,0
Donnie Brasco,Feb,1997,35.0,127,7.6,20029,R,0,0,0,1,0,0,0,0
Without a Paddle,Aug,2004,30.0,95,5.4,3605,PG-13,0,0,1,0,0,0,0,0
House on Haunted Hill,Oct,1999,19.0,99,5.1,9694,R,0,0,0,0,0,0,0,0
Miracle,Feb,2004,28.0,135,7.7,5785,PG,0,0,0,1,0,0,0,0
Wag the Dog,Dec,1997,15.0,97,7.0,16434,R,0,0,1,0,0,0,0,0
Monster,Dec,2003,5.0,109,7.4,12306,R,0,0,0,1,0,0,0,0
Valiant,Aug,2005,35.0,75,6.3,224,,0,1,1,0,0,0,0,0
The Remains of the Day,Nov,1993,15.0,134,7.8,10310,,0,0,0,1,0,1,0,0
High Crimes,Apr,2002,42.0,115,6.1,6043,PG-13,0,0,0,1,0,0,0,0
Cop Land,Aug,1997,15.0,116,6.7,12677,R,0,0,0,1,0,0,0,0
In Good Company,Dec,2004,26.0,109,7.1,4404,PG-13,0,0,1,1,0,0,0,0
She's All That,Jan,1999,10.0,95,5.5,13070,PG-13,0,0,1,0,0,1,0,0
Tango & Cash,Dec,1989,55.0,104,5.4,7657,,1,0,1,0,0,0,0,0
Tango & Cash,Dec,1989,55.0,104,5.4,7657,,1,0,1,0,0,0,0,0
Random Hearts,Oct,1999,64.0,133,4.8,5919,R,0,0,0,1,0,1,0,0
Beavis and Butt-Head Do America,Dec,1996,12.0,81,6.2,9491,PG-13,0,1,1,0,0,0,0,0
The Sweetest Thing,Apr,2002,43.0,90,4.7,8284,R,0,0,1,0,0,1,0,0
Proof of Life,Dec,2000,65.0,135,6.3,9592,R,1,0,0,1,0,0,0,0
Honey,Dec,2003,18.0,94,3.9,3067,PG-13,0,0,0,1,0,1,0,0
Splash,Mar,1984,8.0,111,6.3,9428,,0,0,1,0,0,1,0,0
The Crying Game,Nov,1992,4.0,112,7.3,9524,R,0,0,0,1,0,1,0,0
Patton,Jan,1970,12.0,172,8.2,14351,,0,0,0,1,0,0,0,0
Snow Day,Feb,2000,13.0,89,4.6,1645,PG,0,0,1,0,0,1,0,0
Like Mike,Jul,2002,30.0,99,4.9,1484,PG,0,0,1,0,0,0,0,0
Not Another Teen Movie,Dec,2001,15.0,89,5.2,10295,R,0,0,1,0,0,0,0,0
Two Brothers,Jun,2004,72.0,109,6.9,1614,PG,0,0,0,1,0,0,0,0
Captain Corelli's Mandolin,Aug,2001,57.0,131,5.9,5281,R,0,0,0,1,0,1,0,0
Captain Corelli's Mandolin,Aug,2001,57.0,131,5.9,5281,R,0,0,0,1,0,1,0,0
28 Days,Apr,2000,43.0,103,6.0,7465,PG-13,0,0,0,1,0,0,0,0
Friday Night Lights,Oct,2004,30.0,117,7.0,4290,PG-13,0,0,0,1,0,0,0,0
Chariots of Fire,Sep,1981,5.5,123,7.3,6666,,0,0,0,1,0,0,0,0
The 13th Warrior,Aug,1999,125.0,102,6.1,14344,R,1,0,0,0,0,0,0,0
Cellular,Sep,2004,45.0,94,6.4,6182,PG-13,1,0,0,0,0,0,0,0
Flatliners,Aug,1990,26.0,110,6.3,9830,,0,0,0,0,0,0,0,0
Zoolander,Sep,2001,28.0,89,6.1,18277,PG-13,0,0,1,0,0,0,0,0
The Wild Thornberrys Movie,Dec,2002,25.0,85,4.7,4008,PG,0,1,1,0,0,0,0,0
Kiss the Girls,Oct,1997,27.0,111,6.4,9041,R,0,0,0,1,0,0,0,0
10 Things I Hate About You,Mar,1999,13.0,97,6.7,19095,PG-13,0,0,1,0,0,1,0,0
I Spy,Nov,2002,70.0,97,5.3,5521,PG-13,1,0,1,0,0,0,0,0
The Insider,Nov,1999,68.0,157,8.0,28780,R,0,0,0,1,0,0,0,0
Chain Reaction,Aug,1996,55.0,106,5.1,5936,PG-13,1,0,0,1,0,0,0,0
Chain Reaction,Aug,1996,55.0,106,5.1,5936,PG-13,1,0,0,1,0,0,0,0
It's a Mad Mad Mad Mad World,Nov,1963,9.4,192,7.2,5891,,1,0,1,0,0,0,0,0
Spartacus,Oct,1960,12.0,198,8.0,17084,,1,0,0,1,0,1,0,0
Superman III,Jun,1983,39.0,125,4.6,6412,,1,0,0,0,0,0,0,0
Son of the Mask,Feb,2005,100.0,94,1.9,1785,PG,1,0,1,0,0,0,0,0
Friday the 13th,May,1980,0.55,95,5.8,7475,,0,0,0,0,0,0,0,0
Next Friday,Jan,2000,9.5,98,5.2,3457,R,0,0,1,0,0,0,0,0
21 Grams,Nov,2003,20.0,124,8.0,21857,R,0,0,0,1,0,0,0,0
Scrooged,Nov,1988,32.0,101,6.6,8457,,0,0,1,0,0,0,0,0
The Flintstones in Viva Rock Vegas,Apr,2000,58.0,90,3.7,1712,PG,0,0,1,0,0,0,0,0
The Flintstones in Viva Rock Vegas,Apr,2000,58.0,90,3.7,1712,PG,0,0,1,0,0,0,0,0
Jeepers Creepers,Aug,2001,10.0,90,5.4,10973,R,0,0,0,1,0,0,0,0
Behind Enemy Lines,Nov,2001,40.0,106,6.1,10856,PG-13,1,0,0,1,0,0,0,0
Sliding Doors,Apr,1998,6.0,99,6.9,11954,R,0,0,1,1,0,1,0,0
Jack,Aug,1996,45.0,113,5.2,5256,PG-13,0,0,1,1,0,0,0,0
Sea of Love,Sep,1989,19.0,113,6.7,5072,,0,0,0,1,0,0,0,0
Little Nicky,Nov,2000,80.0,90,4.9,9485,PG-13,0,0,1,0,0,1,0,0
Amistad,Dec,1997,40.0,152,7.0,10543,R,0,0,0,1,0,0,0,0
Bowling for Columbine,Oct,2002,3.0,120,8.5,36747,R,0,0,1,1,1,0,0,0
Agent Cody Banks,Mar,2003,25.0,102,5.5,2655,PG,1,0,1,0,0,0,0,0
My Girl,Nov,1991,16.5,102,6.3,5591,,0,0,1,1,0,1,0,0
Heartbreakers,Mar,2001,38.0,110,6.2,8037,PG-13,0,0,1,0,0,1,0,0
Under the Tuscan Sun,Sep,2003,18.0,113,6.7,4183,PG-13,0,0,1,1,0,1,0,0
Pet Sematary,Apr,1989,11.5,103,5.7,5718,,0,0,0,0,0,0,0,0
The Specialist,Oct,1994,45.0,110,4.7,6602,,1,0,0,1,0,0,0,0
The Godfather: Part II,Dec,1974,13.0,200,8.9,71363,,0,0,0,1,0,0,0,0
The Blues Brothers,Jun,1980,27.0,148,7.7,28964,,1,0,1,0,0,0,0,0
Crossroads,Feb,2002,12.0,93,3.1,8546,PG-13,0,0,1,1,0,1,0,0
The Man in the Iron Mask,Mar,1998,35.0,132,6.0,11127,PG-13,1,0,0,1,0,0,0,0
Elektra,Jan,2005,65.0,96,4.9,5120,PG-13,1,0,0,0,0,0,0,0
A Civil Action,Dec,1998,60.0,112,6.4,6847,PG-13,0,0,0,1,0,0,0,0
Clueless,Jul,1995,13.7,97,6.7,16521,PG-13,0,0,1,0,0,1,0,0
Tombstone,Dec,1993,25.0,130,7.4,16618,R,1,0,0,1,0,0,0,0
The Mothman Prophecies,Jan,2002,42.0,119,6.5,11073,PG-13,0,0,0,0,0,0,0,0
Cradle 2 the Grave,Feb,2003,25.0,101,5.3,4164,R,1,0,0,0,0,0,0,0
Drumline,Dec,2002,20.0,118,5.3,7368,PG-13,0,0,1,1,0,1,0,0
15 Minutes,Mar,2001,42.0,120,6.1,10866,R,0,0,0,1,0,0,0,0
Boyz n the Hood,Jul,1991,6.5,107,7.7,10319,,0,0,0,1,0,0,0,0
Frida,Oct,2002,12.0,123,7.5,8614,R,0,0,0,1,0,0,0,0
The Animal,Jun,2001,22.0,84,4.8,5605,R,0,0,1,0,0,0,0,0
Pooh's Heffalump Movie,Feb,2005,20.0,68,6.7,295,,0,1,0,0,0,0,0,0
The Craft,May,1996,15.0,101,5.9,9187,R,0,0,1,1,0,0,0,0
Wild Things,Mar,1998,20.0,115,6.6,17672,R,0,0,0,0,0,0,0,0
The Lizzie McGuire Movie,May,2003,15.0,94,5.0,2541,PG,0,0,1,0,0,0,0,0
Analyze That,Dec,2002,60.0,96,5.5,6863,R,0,0,1,0,0,0,0,0
Predator 2,Nov,1990,35.0,108,5.5,9858,,1,0,0,0,0,0,0,0
Driven,Apr,2001,72.0,116,4.4,7129,PG-13,1,0,0,1,0,0,0,0
Looney Tunes: Back in Action,Nov,2003,80.0,91,6.1,2559,PG,1,1,1,0,0,0,0,0
The Punisher,Apr,2004,33.0,124,6.2,9989,R,1,0,0,0,0,0,0,0
Spanglish,Dec,2004,75.0,130,6.7,4698,PG-13,0,0,1,1,0,1,0,0
Varsity Blues,Jan,1999,16.0,100,6.0,7974,R,0,0,0,1,0,0,0,0
The Abyss,Aug,1989,70.0,171,7.4,21987,PG-13,1,0,0,1,0,0,0,0
La Bamba,Jul,1987,6.5,108,6.5,2998,,0,0,0,1,0,0,0,0
The Verdict,Dec,1982,16.0,129,7.6,3619,,0,0,0,1,0,0,0,0
Edward Scissorhands,Dec,1990,20.0,105,7.7,27017,,0,0,0,1,0,1,0,0
Mickey Blue Eyes,Aug,1999,40.0,102,5.8,7247,PG-13,0,0,1,0,0,1,0,0
Bounce,Nov,2000,35.0,106,5.8,5390,PG-13,0,0,0,1,0,1,0,0
RoboCop,Jul,1987,13.0,103,7.1,15974,,1,0,0,0,0,0,0,0
Radio,Oct,2003,35.0,109,6.9,3594,PG,0,0,0,1,0,0,0,0
Arachnophobia,Jul,1990,31.0,103,6.1,8608,,0,0,1,0,0,0,0,0
Pitch Black,Feb,2000,23.0,112,6.7,18522,R,0,0,0,0,0,0,0,0
My Cousin Vinny,Mar,1992,11.0,120,7.2,10877,R,0,0,1,0,0,0,0,0
Message in a Bottle,Feb,1999,30.0,126,5.4,5582,PG-13,0,0,0,1,0,1,0,0
Big Fat Liar,Feb,2002,15.0,88,5.5,2453,PG,0,0,1,0,0,0,0,0
Ordinary People,Sep,1980,6.0,124,7.9,6785,,0,0,0,1,0,0,0,0
The Color of Money,Oct,1986,10.0,119,6.8,9095,,0,0,0,1,0,0,0,0
Stand by Me,Aug,1986,8.0,89,8.0,30805,,0,0,0,1,0,0,0,0
One Hour Photo,Aug,2002,12.0,96,7.1,17130,R,0,0,0,1,0,0,0,0
Nowhere to Run,Jan,1993,15.0,102,4.7,2089,,1,0,0,1,0,1,0,0
Amadeus,Sep,1984,18.0,180,8.3,36955,R,0,0,0,1,0,0,0,0
Hanging Up,Feb,2000,40.0,94,4.4,3129,PG-13,0,0,1,1,0,0,0,0
Maximum Risk,Sep,1996,25.0,100,4.9,2234,R,1,0,0,0,0,0,0,0
Blue Crush,Aug,2002,30.0,104,5.7,4791,PG-13,0,0,0,1,0,1,0,0
Mortal Kombat: Annihilation,Nov,1997,30.0,91,3.0,5799,PG-13,1,0,0,0,0,0,0,0
Fargo,Mar,1996,7.0,98,8.2,65597,R,0,0,0,1,0,0,0,0
Naked Gun 33 1/3: The Final Insult,Mar,1994,30.0,83,5.8,8918,,0,0,1,0,0,0,0,0
Enough,May,2002,38.0,115,4.9,4339,PG-13,0,0,0,1,0,0,0,0
Team America: World Police,Oct,2004,20.0,98,7.3,13104,R,1,0,1,0,0,0,0,0
You Got Served,Jan,2004,8.0,95,1.9,6041,PG-13,0,0,0,1,0,0,0,0
A Bridge Too Far,Jun,1977,26.0,176,7.0,5527,,1,0,0,1,0,0,0,0
The Mighty Ducks,Oct,1992,10.0,100,5.7,4410,,1,0,1,0,0,0,0,0
Bride of Chucky,Oct,1998,25.0,89,5.2,4449,R,0,0,1,0,0,0,0,0
Mighty Joe Young,Dec,1998,80.0,114,5.6,2873,PG,0,0,0,0,0,0,0,0
Diary of a Mad Black Woman,Feb,2005,5.5,116,3.9,837,PG-13,0,0,1,1,0,0,0,0
Hollywood Homicide,Jun,2003,75.0,116,5.2,5312,PG-13,1,0,1,0,0,0,0,0
K-PAX,Aug,2001,48.0,120,7.2,17235,PG-13,0,0,0,1,0,0,0,0
Sphere,Feb,1998,73.0,134,5.3,12990,PG-13,0,0,0,0,0,0,0,0
Breakdown,May,1997,36.0,95,6.7,7099,R,1,0,0,0,0,0,0,0
The Longest Day,Oct,1962,10.0,180,7.7,6517,,1,0,0,1,0,0,0,0
Fever Pitch,Apr,2005,40.0,98,6.6,1712,PG-13,0,0,1,0,0,1,0,0
Little Women,Dec,1994,15.0,115,7.1,7008,,0,0,0,1,0,1,0,0
Reds,Dec,1981,33.5,194,7.1,2394,,0,0,0,1,0,1,0,0
Legal Eagles,Jun,1986,40.0,116,5.6,2132,,0,0,1,0,0,1,0,0
Popeye,Dec,1980,20.0,115,4.8,4822,,0,0,1,0,0,0,0,0
Leaving Las Vegas,Oct,1995,4.0,111,7.5,18027,R,0,0,0,1,0,1,0,0
Major League,Apr,1989,11.0,107,6.7,8078,,0,0,1,0,0,0,0,0
Sky Captain and the World of Tomorrow,Sep,2004,70.0,106,6.5,12579,PG,1,0,0,0,0,0,0,0
Cobra,May,1986,25.0,73,4.2,5250,,1,0,0,0,0,0,0,0
The Avengers,Aug,1998,60.0,89,3.4,11499,PG-13,1,0,0,0,0,0,0,0
The Omen,Jun,1976,2.8,107,7.3,7895,,0,0,0,1,0,0,0,0
Fat Albert,Dec,2004,45.0,93,4.2,1062,PG,0,0,1,0,0,0,0,0
Magnolia,Dec,1999,37.0,188,8.0,45992,R,0,0,0,1,0,0,0,0
Malcolm X,Nov,1992,35.0,202,7.5,6873,,0,0,0,1,0,0,0,0
The Blue Lagoon,Jun,1980,4.5,104,4.7,4324,,0,0,0,1,0,1,0,0
Secondhand Lions,Sep,2003,30.0,120,7.4,5543,PG,0,0,1,1,0,0,0,0
High Fidelity,Mar,2000,20.0,113,7.6,29704,R,0,0,1,1,0,1,0,0
Book of Shadows: Blair Witch 2,Oct,2000,15.0,90,4.2,6532,R,0,0,0,0,0,0,0,0
Almost Famous,Sep,2000,60.0,162,8.0,38648,R,0,0,1,1,0,0,0,0
Walking Tall,Apr,2004,56.0,87,5.9,4839,PG-13,1,0,0,1,0,0,0,0
Walking Tall,Apr,2004,56.0,87,5.9,4839,PG-13,1,0,0,1,0,0,0,0
Darkness Falls,Jan,2003,7.0,86,4.5,4928,PG-13,0,0,0,0,0,0,0,0
The Watcher,Sep,2000,33.0,97,5.2,5774,R,0,0,0,0,0,0,0,0
The Hunted,Mar,2003,55.0,117,5.5,5978,R,1,0,0,1,0,0,0,0
The Hunted,Mar,2003,55.0,117,5.5,5978,R,1,0,0,1,0,0,0,0
The Wedding Date,Feb,2005,15.0,90,5.0,953,PG-13,0,0,1,0,0,1,0,0
Goodfellas,Sep,1990,25.0,145,8.6,68219,,0,0,0,1,0,0,0,0
Fortress,Sep,1993,12.0,95,5.3,2577,,1,0,0,0,0,0,0,0
The Big Lebowski,Mar,1998,15.0,117,8.0,50179,R,0,0,1,0,0,0,0,0
Torque,Jan,2004,40.0,81,3.2,4050,PG-13,1,0,0,0,0,0,0,0
Napoleon Dynamite,Jun,2004,0.4,86,7.2,17524,PG,0,0,1,0,0,0,0,0
A Walk to Remember,Jan,2002,11.0,101,6.8,7124,PG,0,0,0,1,0,1,0,0
The Rainmaker,Nov,1997,40.0,135,6.8,8620,PG-13,0,0,0,1,0,0,0,0
Black Rain,Sep,1989,30.0,125,6.3,5636,,1,0,0,1,0,0,0,0
Firefox,Jun,1982,21.0,136,5.5,3401,,1,0,0,0,0,0,0,0
Dancer in the Dark,Sep,2000,12.5,140,7.8,15686,R,0,0,0,1,0,0,0,0
Keeping the Faith,Apr,2000,29.0,128,6.8,11351,PG-13,0,0,1,1,0,1,0,0
Good Boy!,Oct,2003,17.0,88,4.7,683,PG,0,0,1,1,0,0,0,0
Deep Throat,Jun,1972,0.025,67,5.1,1097,,0,0,0,0,0,0,0,0
Medicine Man,Feb,1992,40.0,106,5.7,4190,,0,0,0,0,0,1,0,0
Scarface,Dec,1983,25.0,170,7.9,28300,,0,0,0,1,0,0,0,0
A Nightmare On Elm Street 3: Dream Warriors,Feb,1987,5.0,88,5.8,4962,,0,0,1,0,0,0,0,0
Midnight Cowboy,May,1969,3.6,113,7.9,13091,,0,0,0,1,0,0,0,0
The Shining,May,1980,19.0,146,8.3,50908,,0,0,0,0,0,0,0,0
Young Guns,Aug,1988,13.0,102,6.4,8104,,1,0,0,1,0,0,0,0
Meet Joe Black,Nov,1998,85.0,178,6.6,16796,PG-13,0,0,0,1,0,1,0,0
The Gift,Dec,2000,10.0,111,6.8,12440,R,0,0,0,1,0,0,0,0
Recess: School's Out,Feb,2001,10.0,82,6.0,512,,0,1,1,0,0,0,0,0
Clash of the Titans,Jun,1981,15.0,118,6.3,3860,,1,0,0,0,0,1,0,0
The Jungle Book,Dec,1994,27.0,111,5.9,1692,,0,0,0,0,0,1,0,0
The Postman Always Rings Twice,Mar,1981,12.0,122,6.3,2377,,0,0,0,1,0,1,0,0
Child's Play,Nov,1988,9.0,87,5.9,4250,,0,0,0,0,0,0,0,0
The Last Emperor,Nov,1987,25.0,219,7.7,9507,,0,0,0,1,0,0,0,0
Exorcist: The Beginning,Aug,2004,78.0,114,5.0,4130,R,1,0,0,0,0,0,0,0
Dogma,Nov,1999,10.0,130,7.3,43391,R,0,0,1,0,0,0,0,0
The Transporter,Oct,2002,21.0,92,6.0,9150,PG-13,1,0,0,0,0,0,0,0
Wall Street,Dec,1987,16.5,125,7.2,11269,,0,0,0,1,0,0,0,0
A Man Apart,Apr,2003,36.0,110,5.4,4231,R,1,0,0,1,0,0,0,0
Monster's Ball,Dec,2001,4.0,112,7.3,15037,R,0,0,0,1,0,1,0,0
West Side Story,Oct,1961,6.0,151,7.8,12931,,0,0,0,1,0,1,0,0
Soul Food,Sep,1997,7.5,114,6.5,1166,R,0,0,1,1,0,0,0,0
Orange County,Jan,2002,18.0,82,6.1,8526,PG-13,0,0,1,1,0,0,0,0
Girl with a Pearl Earring,Dec,2003,12.0,100,7.3,6391,PG-13,0,0,0,1,0,0,0,0
Boogie Nights,Oct,1997,15.0,156,7.6,27380,R,0,0,0,1,0,0,0,0
See Spot Run,Mar,2001,16.0,94,5.0,1193,PG,0,0,1,0,0,0,0,0
Escape from Alcatraz,Jun,1979,8.0,112,7.3,6131,,0,0,0,1,0,0,0,0
Basic,Mar,2003,50.0,98,6.2,8370,R,0,0,0,1,0,0,0,0
The Four Seasons,May,1981,6.5,107,6.5,635,,0,0,1,1,0,0,0,0
8 femmes,Sep,2002,8.0,111,7.1,5503,R,0,0,1,0,0,0,0,0
Teenage Mutant Ninja Turtles III,Mar,1993,21.0,96,4.1,2075,,1,1,0,0,0,0,0,0
In the Bedroom,Nov,2001,1.7,130,7.4,10177,R,0,0,0,1,0,0,0,0
A Lot Like Love,Apr,2005,25.0,107,4.6,786,PG-13,0,0,1,1,0,1,0,0
The Return of the Pink Panther,May,1975,5.0,113,6.8,3136,,0,0,1,0,0,0,0,0
The Fisher King,Sep,1991,24.0,137,7.4,11952,,0,0,1,1,0,1,0,0
Casino Royale,Apr,1967,12.0,131,5.3,4173,,1,0,1,0,0,0,0,0
Wimbledon,Sep,2004,35.0,98,6.3,4297,PG-13,0,0,1,1,0,1,0,0
Pale Rider,Jun,1985,6.9,115,6.9,4487,,0,0,0,0,0,0,0,0
Peggy Sue Got Married,Oct,1986,18.0,104,6.3,5797,,0,0,1,1,0,0,0,0
Gosford Park,Dec,2001,18.0,137,7.3,16831,R,0,0,0,1,0,0,0,0
The Mirror Has Two Faces,Nov,1996,42.0,122,5.7,2775,PG-13,0,0,1,1,0,1,0,0
The French Connection,Oct,1971,2.2,104,7.8,11783,,1,0,0,1,0,0,0,0
Money Talks,Aug,1997,25.0,97,5.5,2720,R,1,0,1,0,0,0,0,0
Happy Gilmore,Feb,1996,10.0,92,6.8,17746,PG-13,0,0,1,0,0,0,0,0
Where the Heart Is,Apr,2000,15.0,120,6.4,5042,PG-13,0,0,1,1,0,1,0,0
Undercover Brother,May,2002,25.0,85,6.0,5138,PG-13,1,0,1,0,0,0,0,0
Bill & Ted's Excellent Adventure,Feb,1989,10.0,90,6.6,12277,,0,0,1,0,0,0,0,0
Bless the Child,Aug,2000,40.0,107,5.0,3814,R,0,0,0,0,0,0,0,0
The Master of Disguise,Aug,2002,16.0,80,2.9,3903,PG,0,0,1,0,0,0,0,0
